brand,OS,processor,RAM,storage,display,num_of_ratings,num_of_reviews,warranty,product_rating,price
Acer,Windows OS,AMD Ryzen 5,16,512.0,15,473.0,47.0,1,4.4,57990.0
SAMSUNG,Windows OS,Intel i7,16,1024.0,15,914.0,78.0,1,4.1,138990.0
SAMSUNG,Windows OS,Intel i7,16,512.0,14,914.0,78.0,1,4.1,139990.0
Lenovo,Chrome OS,MediaTek,8,512.0,14,1463.0,125.0,1,3.8,23850.0
HP,Windows OS,AMD Ryzen 5,8,512.0,15,42.0,5.0,1,3.9,31400.0
HP,Windows OS,Intel i3,16,512.0,15,55.0,6.0,1,3.6,33999.0
Primebook,Chrome OS,MediaTek,4,512.0,14,3007.0,890.0,1,4.2,12990.0
SAMSUNG,Windows OS,Intel i3,8,512.0,15,2726.0,340.0,1,4.5,41990.0
ASUS,Chrome OS,Intel i1,4,512.0,14,2594.0,228.0,1,3.8,13990.0
Acer,Windows OS,AMD Ryzen 5,16,512.0,14,797.0,93.0,1,4.3,39990.0
ASUS,Windows OS,Intel i5,8,512.0,15,7525.0,419.0,1,4.2,42190.0
CHUWI,Windows OS,Intel i1,8,256.0,14,1357.0,162.0,1,3.7,15990.0
HP,Chrome OS,Intel i1,4,512.0,14,1960.0,141.0,1,4.1,19990.0
Acer,Windows OS,AMD Ryzen 3,16,512.0,15,31.0,5.0,1,4.3,31990.0
Lenovo,Windows OS,Intel i5,16,512.0,15,645.0,46.0,1,4.2,52990.0
Acer,Windows OS,AMD Ryzen 3,16,512.0,15,326.0,32.0,1,4.2,28990.0
Lenovo,Windows OS,AMD Ryzen 5,16,512.0,15,2041.0,157.0,1,4.2,35990.0
SAMSUNG,Windows OS,Intel i7,16,512.0,14,914.0,78.0,1,4.1,139990.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,15,914.0,78.0,1,4.1,154990.0
Lenovo,Windows OS,AMD Ryzen 3,8,512.0,15,42.0,4.0,1,3.9,27290.0
Infinix,Windows OS,Intel i5,16,512.0,16,475.0,80.0,1,4.2,53990.0
SAMSUNG,Windows OS,Intel i7,16,1024.0,15,914.0,78.0,1,4.1,138990.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,16,914.0,78.0,1,4.1,181990.0
Acer,Windows OS,Intel i5,16,1024.0,14,2692.0,194.0,1,4.1,44990.0
HP,Windows OS,Intel i3,16,512.0,15,7110.0,419.0,1,4.2,36090.0
Lenovo,Windows OS,Intel i5,16,512.0,14,914.0,78.0,1,4.1,50749.0
Lenovo,Windows OS,Intel i1,8,512.0,14,332.0,25.0,1,3.9,24790.0
HP,Chrome OS,Intel i1,4,512.0,14,1960.0,141.0,1,4.1,19990.0
Lenovo,Chrome OS,MediaTek,8,512.0,14,1463.0,125.0,1,3.8,23850.0
SAMSUNG,Windows OS,Intel i5,8,512.0,15,5535.0,485.0,1,4.5,60990.0
Acer,Windows OS,AMD Ryzen 5,16,1024.0,15,884.0,78.0,1,4.0,37990.0
ASUS,Chrome OS,Intel i1,4,512.0,14,2594.0,228.0,1,3.8,13990.0
SAMSUNG,Windows OS,Intel i3,8,512.0,15,2726.0,340.0,1,4.5,41990.0
Lenovo,Windows OS,Intel i5,16,512.0,14,29.0,3.0,1,4.4,41490.0
Lenovo,Windows OS,Intel i5,16,512.0,14,2004.0,102.0,1,4.2,49299.0
Acer,Windows OS,Intel i3,8,512.0,14,12925.0,955.0,1,4.2,28990.0
ASUS,Windows OS,AMD Ryzen 7,16,512.0,15,53.0,5.0,1,4.5,94990.0
Acer,Windows OS,Intel i5,16,512.0,14,2692.0,194.0,1,4.1,40990.0
ASUS,Chrome OS,Intel i1,4,512.0,15,2242.0,201.0,1,3.8,14990.0
DELL,Windows OS,Intel i5,16,512.0,15,24.0,2.0,1,3.9,78490.0
MSI,Windows OS,Intel i7,16,1024.0,16,21.0,2.0,2,4.6,134990.0
HP,Chrome OS,Intel i1,4,512.0,14,1750.0,136.0,1,3.9,23588.0
SAMSUNG,Windows OS,Intel i7,16,512.0,14,914.0,78.0,1,4.1,139990.0
Ultimus,Windows OS,Intel i1,4,512.0,14,2125.0,301.0,1,3.3,11990.0
HP,Windows OS,Intel i3,8,512.0,15,31.0,1.0,1,4.5,31999.0
HP,Windows OS,Intel i5,16,512.0,15,1165.0,76.0,1,4.4,73990.0
ASUS,Windows OS,Intel i5,8,512.0,15,7525.0,419.0,1,4.2,42950.0
SAMSUNG,Windows OS,Intel i7,16,1024.0,14,914.0,78.0,1,4.1,155990.0
DELL,Windows OS,Intel i3,8,512.0,15,421.0,37.0,1,4.2,33990.0
HP,Windows OS,AMD Ryzen 5,8,512.0,15,8127.0,592.0,1,4.2,37422.0
Lenovo,Windows OS,Intel i5,16,1024.0,14,371.0,30.0,1,4.2,62190.0
HP,Chrome OS,Intel i1,4,512.0,14,1960.0,141.0,1,4.1,19990.0
Lenovo,Chrome OS,MediaTek,8,512.0,14,1463.0,125.0,1,3.8,23850.0
Lenovo,Windows OS,Intel i7,16,512.0,15,149.0,12.0,1,4.1,90690.0
ASUS,Windows OS,Intel i3,16,512.0,15,12211.0,953.0,1,4.3,36990.0
Lenovo,Windows OS,Intel i1,8,256.0,14,2750.0,238.0,1,4.1,25890.0
Lenovo,Windows OS,Intel i7,24,512.0,15,246.0,18.0,1,4.3,90990.0
ASUS,Chrome OS,Intel i1,4,512.0,14,2594.0,228.0,1,3.8,13990.0
SAMSUNG,Windows OS,Intel i3,8,512.0,15,2726.0,340.0,1,4.5,41990.0
DELL,Windows OS,Intel i3,16,512.0,15,76.0,6.0,1,3.7,33099.0
ASUS,Windows OS,AMD Ryzen 7,16,512.0,15,806.0,51.0,1,4.4,63990.0
HP,Chrome OS,Intel i1,4,512.0,14,1750.0,136.0,1,3.9,23588.0
SAMSUNG,Windows OS,Intel i7,16,512.0,14,914.0,78.0,1,4.1,139990.0
ASUS,Chrome OS,Intel i1,4,512.0,15,2242.0,201.0,1,3.8,14990.0
Acer,Windows OS,Intel i5,16,512.0,15,1836.0,133.0,1,4.3,54990.0
Lenovo,Windows OS,Intel i5,12,512.0,15,1245.0,95.0,1,4.2,57499.0
HP,Windows OS,AMD Ryzen 5,8,512.0,15,181.0,14.0,1,4.1,31290.0
SAMSUNG,Windows OS,Intel i7,16,1024.0,14,914.0,78.0,1,4.1,155990.0
SAMSUNG,Windows OS,Intel i7,16,512.0,16,914.0,78.0,1,4.1,149990.0
Lenovo,Windows OS,Intel i5,8,512.0,14,754.0,55.0,1,4.1,35490.0
Apple,Mac OS,Apple M series,16,256.0,14,98.0,16.0,1,4.6,99900.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,16,914.0,78.0,1,4.1,181990.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,15,914.0,78.0,1,4.1,154990.0
Primebook,Chrome OS,MediaTek,4,512.0,14,1403.0,393.0,1,4.1,14990.0
HP,Windows OS,Intel i1,8,512.0,15,947.0,73.0,1,3.8,25499.0
DELL,Windows OS,Intel i5,16,512.0,15,188.0,7.0,1,4.3,53522.0
DELL,Windows OS,Intel i5,16,512.0,15,54.0,6.0,1,4.0,51890.0
SAMSUNG,Windows OS,Intel i3,8,512.0,15,2726.0,340.0,1,4.5,41990.0
ASUS,Chrome OS,Intel i1,4,512.0,14,2594.0,228.0,1,3.8,13990.0
Acer,Windows OS,AMD Ryzen 5,16,512.0,15,1458.0,190.0,1,4.1,38990.0
Lenovo,Windows OS,AMD Ryzen 7,16,512.0,15,4.0,0.0,1,4.0,45000.0
CHUWI,Windows OS,Intel i1,8,256.0,14,1357.0,162.0,1,3.7,15990.0
Lenovo,Chrome OS,MediaTek,8,512.0,14,1463.0,125.0,1,3.8,23850.0
Acer,Windows OS,Intel i3,8,512.0,15,39.0,5.0,1,4.1,31990.0
Acer,Windows OS,Intel i5,16,512.0,15,2500.0,202.0,1,4.2,52990.0
HP,Windows OS,Intel i5,8,512.0,15,303.0,13.0,1,4.2,44900.0
Colorful,Windows OS,Intel i5,16,512.0,15,164.0,31.0,2,4.2,64990.0
HP,Chrome OS,Intel i1,4,512.0,14,1960.0,141.0,1,4.1,19990.0
SAMSUNG,Windows OS,Intel i7,16,512.0,14,914.0,78.0,1,4.1,139990.0
HP,Windows OS,AMD Ryzen 3,8,512.0,14,655.0,31.0,1,4.1,25990.0
ASUS,Windows OS,Intel i5,16,512.0,16,11.0,0.0,1,3.8,53899.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,15,914.0,78.0,1,4.1,154990.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,16,914.0,78.0,1,4.1,181990.0
Acer,Windows OS,Intel i5,16,512.0,15,962.0,84.0,1,4.3,59990.0
MSI,Windows OS,Intel i5,8,512.0,14,1788.0,177.0,1,4.3,36990.0
Lenovo,Windows OS,Intel i1,8,512.0,14,332.0,25.0,1,3.9,24790.0
HP,Windows OS,Intel i3,16,512.0,15,55.0,6.0,1,3.6,33999.0
SAMSUNG,Windows OS,Intel i7,16,1024.0,15,914.0,78.0,1,4.1,138990.0
SAMSUNG,Windows OS,Intel i7,16,1024.0,14,914.0,78.0,1,4.1,155990.0
Lenovo,Windows OS,Intel i1,8,512.0,14,332.0,25.0,1,3.9,24790.0
Acer,Chrome OS,Intel i1,8,512.0,14,2168.0,154.0,1,3.8,16990.0
HP,Chrome OS,Intel i1,4,512.0,14,1960.0,141.0,1,4.1,19990.0
Lenovo,Chrome OS,MediaTek,8,512.0,14,1463.0,125.0,1,3.8,23850.0
Lenovo,Windows OS,Intel i3,8,512.0,15,1722.0,95.0,1,4.2,33990.0
ASUS,Windows OS,AMD Ryzen 5,8,512.0,15,2480.0,201.0,1,4.4,44990.0
ASUS,Windows OS,AMD Ryzen 5,8,512.0,15,2480.0,201.0,1,4.4,44990.0
MSI,Windows OS,Intel i5,16,512.0,14,3.0,0.0,1,3.7,39990.0
ASUS,Chrome OS,Intel i1,4,512.0,14,2594.0,228.0,1,3.8,13990.0
SAMSUNG,Windows OS,Intel i3,8,512.0,15,2726.0,340.0,1,4.5,41990.0
Acer,Windows OS,AMD Ryzen 5,8,512.0,15,884.0,78.0,1,4.0,34990.0
Lenovo,Windows OS,Intel i5,8,512.0,14,754.0,55.0,1,4.1,35490.0
Acer,Windows OS,Intel i5,16,512.0,14,2692.0,194.0,1,4.1,40990.0
ASUS,Chrome OS,Intel i1,4,512.0,15,2242.0,201.0,1,3.8,14990.0
HP,Windows OS,AMD Ryzen 3,8,512.0,14,655.0,31.0,1,4.1,25990.0
ASUS,Windows OS,AMD Ryzen 3,8,512.0,15,3474.0,374.0,1,4.4,36990.0
DELL,Windows OS,Intel i3,16,512.0,15,914.0,78.0,1,4.1,33700.0
HP,Windows OS,AMD Ryzen 5,8,512.0,15,181.0,14.0,1,4.1,31290.0
HP,Chrome OS,Intel i1,4,512.0,14,1750.0,136.0,1,3.9,23588.0
SAMSUNG,Windows OS,Intel i7,16,512.0,14,914.0,78.0,1,4.1,139990.0
